Title,Author,ISBN,branch_counts
$2.00 a day : living on almost nothing in america,"edin, kathryn, 1962-",0544303180,"{""bal"": 1, ""cen"": 2, ""swt"": 1}"
"$4 gasoline and fuel economy : auto industry at a crossroads : hearing before the select committee on energy independence and global warming, house of representatives, one hundred tenth congress, second session, june 26, 2008.",united states. congress. house. select committee on energy independence and global warming,0160877849,"{""cen"": 1}"
"$40 million slaves : the rise, fall, and redemption of the black athlete","rhoden, william c.",0307353141,"{""cen"": 1, ""dth"": 1}"
$70 billion in the black : america's black consumers,"gibson, d. parke",0025431609,"{""cen"": 1}"
"$700 billion bailout : the emergency economic stabilization act and what it means to you, your money, your mortgage, and your taxes","muolo, paul",0470462566,"{""cen"": 1}"
$9 therapy : semi-capitalist solutions to your emotional problems,"reid, megan",0062936336,"{""cen"": 1, ""col"": 1, ""gwd"": 1, ""nga"": 1}"
$eattle's $uper $hopper : includes tacoma,"johnston, priscilla, 1941-",0916076156,"{""cen"": 1}"
& more black,"ford, t'ai freedom",0999501216,"{""cen"": 1, ""col"": 1, ""dth"": 2}"
& sons : a novel,"gilbert, david, 1967-",0812993969,"{""cen"": 1}"
'50s decor.,,1564773469,"{""cen"": 2}"
'68 : el otoño mexicano de la masacre de tlateloco,"taibo, paco ignacio, ii, 1949-",1609808517,"{""cen"": 1}"
'70s teen pop,"jasmine, lucretia tye",1501383507,"{""bro"": 1, ""cap"": 1, ""cen"": 1, ""swt"": 1}"
"'76, one world and the cantos of ezra pound","read, forrest",0807814555,"{""cen"": 2}"
"'80s action movies on the cheap : 284 low budget, high impact pictures","budnik, daniel r., 1973-",0786497416,"{""cen"": 2}"
'98-yŏn ŭl taepʻyo hanŭn munje sosŏl,,8977355710,"{""cen"": 1}"
'99 chʻoego chakka tanpʻyŏnsŏn,,8983752874,"{""cen"": 1}"
'afwan laqad akhṭaʾtu,"shabbānī, sanāʾ, 1966-",9953371075,"{""cen"": 2}"
"'ammār wa-al-sindibād fī kawkab al-aṭfāl : masraḥīyah lil-aṭfāl, 8-11 sanah","'abd al-'azīz, tāmir muḥammad.",9948826566,"{""cen"": 1}"
'becoming the dance' : flamenco spirit,"morca, teodoro",084035844X,"{""cen"": 1}"
'classy chassy' : [american aircraft girl art 1942-1953],"logan, ian",089104079X,"{""cen"": 1}"
'desire caught by the tail',"picasso, pablo, 1881-1973",0714501905,"{""cen"": 1}"
'eat the heart of the infidel' : the harrowing of nigeria and the rise of boko haram,"walker, andrew",1849045585,"{""cen"": 2}"
"'if i had a son' : race, guns, and the railroading of george zimmerman","cashill, jack",1938067215,"{""cen"": 1, ""dth"": 1}"
'insān ḥayawān nabāt shayʼ,"ʻilwah, zanjabīl,",9953954062,"{""cen"": 1}"
"'irris gave us hope ... in the future' : 'no stopping, no standing, no parking ... keep moving'","facen-ford, hope e.,",0578238403,"{""cen"": 1}"
'khams daqāʾiq,"tarḥīnī, maryam",9953953597,"{""cen"": 1}"
"'night, mother","norman, marsha",0822208210,"{""cen"": 1}"
"'night, mother : a play","norman, marsha",0374293473,"{""cen"": 1}"
"'o, write my name' : american portraits, harlem heroes","van vechten, carl, 1880-1964,",0871300702,"{""cen"": 1, ""dth"": 1}"
'ohana means family,"loomis, ilima",0823443264,"{""bal"": 1, ""bea"": 1, ""cap"": 1, ""cen"": 1, ""dlr"": 1, ""fre"": 1, ""lcy"": 1, ""mgm"": 1, ""net"": 1, ""swt"": 1}"
'olelo no'eau : hawaiian proverbs & poetical sayings,,0910240914,"{""bea"": 1, ""cen"": 1, ""dth"": 1}"
'our little gang' : the lives of the vorticists,"king, james, 1942-",1836390556,"{""cen"": 1, ""gwd"": 1}"
'pekorosu no haha' ni manabu bokete shiawase na ikikata,"okano, yūichi.",4098252279,"{""cen"": 1}"
'queer' asia : decolonising and reimagining sexuality and gender,,1786995816,"{""cap"": 1, ""cen"": 1}"
